Category	ID	Units	Description	Scoring	Reference				
1001 Genomes Project	Flowering time at 10 ¡C	day	"10¡C  with 16 hours light / 8 hours darkness, 65% humidity. "	Flowering time was scored as days until first open flower	"Consortium G. (2016) 1,135 Genomes Reveal the Global Pattern of Polymorphism in Arabidopsis thaliana. Cell, 166, 481-491."				
1001 Genomes Project	Flowering time at 16 ¡C	day	"16¡C  with 16 hours light / 8 hours darkness, 65% humidity. "	Flowering time was scored as days until first open flower	"Consortium G. (2016) 1,135 Genomes Reveal the Global Pattern of Polymorphism in Arabidopsis thaliana. Cell, 166, 481-491."				
Meij—n et. al.  Nature Genetics 2014	Mature cell length	micrometer (µ)	"Confocal chamber system, see original reference for details
"	The cell length of fully elongated cells (mature-cell length) was measured in the cortex tissue layer	"Meij—n M., Satbhai S.B., Tsuchimatsu T. & Busch W. (2014) Genome-wide association study using cellular traits identifies a new regulator of root development in Arabidopsis. Nature genetics, 46, 77-81."				
Meij—n et. al.  Nature Genetics 2014	Meristem zone length	micrometer (µ)	"Confocal chamber system, see original reference for details
"	The size of the meristem was measured from the quiescent center to the onset of the rapid longitudinal cell expansion in the cortex tissue (meristem zone length)	"Meij—n M., Satbhai S.B., Tsuchimatsu T. & Busch W. (2014) Genome-wide association study using cellular traits identifies a new regulator of root development in Arabidopsis. Nature genetics, 46, 77-81."				
Li et. al. PNAS 2010	Area Sweden 2009 1st experiment (cm2)	square centimeter (cm2)	Flowering time in simulated seasons	Plant area was scored in cm2	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Area Sweden 2009 2nd experiment	square centimeter (cm2)	Flowering time in simulated seasons	Plant area was scored in cm2	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Spain 2008 1st experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Spain 2008 2nd experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Spain 2009 1st experiment (Days)	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
Li et. al. PNAS 2010	Flowering time Spain 2009 2nd experiment	day	Flowering time in simulated seasons	FT was recorded daily as days to flower after germination	"Li Y., Huang Y., Bergelson J., Nordborg M. & Borevitz J.O. (2010) Association mapping of local climate-sensitive quantitative trait loci in Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 107, 21199-21204."				
